rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,human_serum_pct,methylcellulose_pct,dmso_M,hsa_pct,glycerol_M,proline_M,fbs_pct
1,85.35008510819605,78.21978744150371,14.260595333384686,0.0,2,0.3047,1.55,,,,,,,
2,85.37202659666467,77.08151059970035,16.58103199392864,0.0,4,0.278366678756153,1.515875658073501,0.008887821261638878,0.18539381947496317,,,,,
3,85.19029813518858,76.96897058030902,16.442655109759137,0.05370029624472668,4,0.28118430718193715,1.5419578364099127,,,0.007560517838115877,0.004476798039947576,,,
4,84.51545496203225,76.789682557446,15.451544809172493,0.0,2,0.30041693747558573,1.3576936997473967,,,,,,,
5,84.53087185981505,76.42242890095758,16.21688591771493,0.0,2,0.28854746939249637,1.7552531513660685,,,,,,,
6,84.01784992425733,74.17558492097865,19.68453000655737,0.0,4,0.2378097696355346,1.51534352316454,,,,,0.005804654101548463,0.0005078381013658359,
7,82.68261632674742,73.83280296414537,17.6996267252041,0.0,4,0.2831988744741814,1.8430720637984126,,,,0.3246382550726663,,,1.3632850531386183
8,81.66410054549532,73.16250959020097,17.003181910588705,0.0,2,0.3047,1.8690684111658773,,,,,,,
9,79.08502466733457,72.20186472223514,13.766319890198837,0.0,2,0.1431,1.28,,,,,,,
10,81.36342839756784,71.93931331220891,18.84823017071787,0.0,4,0.27728775966092595,1.3773805118236502,0.7593480689371574,,,,,,7.947268481544434
11,76.53191523029578,69.60880784124748,13.846214778096584,0.0,2,0.1612,1.05,,,,,,,
12,69.32669986605563,62.75681530113262,13.139769129846043,0.0,3,,,,,,6.0,2.35,,34.7
13,63.82353769878412,58.24497082461006,11.157133748348128,0.0,2,,,,,,8.3,1.21,,
14,61.690105187471225,55.718880257618004,11.942449859706441,0.0,2,,1.03,,,,,,0.0361,
15,58.94176812116837,52.680952902459126,12.5216304374185,0.0,3,,0.9757,,,,8.5,,0.0676,
16,58.27596225470719,51.953679941697146,12.644564626020081,0.0,2,,,,,,,1.86,,36.8
17,43.94969925052147,33.310605424657524,21.27818765172789,0.4971909090909091,3,,,4.0,,0.07,4.0,,,
18,42.78994910835776,32.19697708561109,21.185944045493336,0.4971909090909091,2,,,4.0,,0.07,,,,
19,40.77964838178882,30.414984414584175,20.729327934409277,0.4971909090909091,2,,,2.0,,0.07,,,,
20,39.07117469629464,28.80122143557046,20.539906521448355,0.4971909090909091,1,,,,,0.07,,,,
