rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,dextran_pct,glycerol_M,hyaluronic_acid_pct,methylcellulose_pct,human_serum_pct,betaine_M,fbs_pct,peg_3350_pct,hsa_pct,proline_M,propylene_glycol_M,sucrose_M,pvp_pct,dmso_M
1,85.31276992732903,78.19610376647871,14.233332321700624,0.0,2,0.3047,1.55,,,,,,,,,,,,,,
2,84.93593680870558,76.76917834614255,16.333516925126037,0.0,6,0.27946590800469023,1.490395647780199,0.00037660921180696907,0.0005984544395309274,0.0007283952772216903,0.1627279875790793,,,,,,,,,,
3,83.77442974678283,75.84612457335815,15.856610346849353,0.0,2,0.291877646340546,1.7129359857278685,,,,,,,,,,,,,,
4,83.73559532495983,75.0336993613987,17.403791927122253,0.0,4,0.2732656891685319,1.4827992964895211,,0.18266759263794846,,,0.001682212997226971,,,,,,,,,
5,81.77513122944697,73.48706353729607,16.576135384301818,0.0,6,0.3047,1.55,,,,,0.12637638398732776,0.11464230635457184,4.182380503841536,0.2964043238318146,,,,,,
6,81.48777273357841,72.93651272094594,17.102520025264937,0.0,2,0.3047,1.28,,,,,,,,,,,,,,
7,81.55362130689132,72.46516108419755,18.176920445387537,0.0,3,0.19775336216143818,1.3713144046014127,0.0908497216221491,,,,,,,,,,,,,
8,79.22729162971241,72.35387012696546,13.746843005493895,0.0,2,0.1431,1.28,,,,,,,,,,,,,,
9,81.73524048124662,72.21964399309596,19.031192976301334,0.0,2,0.23031823357635403,1.2908300821475749,,,,,,,,,,,,,,
10,81.51683437487056,71.71316496095514,19.607338827830837,0.0,2,0.22107836624327606,1.55,,,,,,,,,,,,,,
11,76.37895516737967,69.46570879386707,13.826492747025203,0.0,2,0.1612,1.05,,,,,,,,,,,,,,
12,69.27317506114264,62.71796567868977,13.11041876490574,0.0,3,,,,2.35,,,,,34.7,,6.0,,,,,
13,63.77835035489532,58.217150408350186,11.122399893090273,0.0,2,,,,1.21,,,,,,,8.3,,,,,
14,61.66266299033958,55.70780217973083,11.909721621217495,0.0,2,,1.03,,,,,,,,,,0.0361,,,,
15,60.07510930314538,52.95444766338447,14.241323279521817,0.0,2,,,,,,,,,,,,,2.46,0.3991,,
16,58.985008064908016,52.73959661290854,12.490822903998941,0.0,3,,0.9757,,,,,,,,,8.5,0.0676,,,,
17,58.24340286834048,51.9362734010202,12.614258934640562,0.0,2,,,,1.86,,,,,36.8,,,,,,,
18,58.322970300022114,51.221040521225405,14.203859557593416,0.0,6,,1.53,,,,,,,33.9,3.6,1.8,0.1495,,,7.2,
19,43.373583194743475,33.28688873492046,20.173388919646026,0.4971909090909091,3,,,,,,,4.0,,,,4.0,,,,,0.07
20,41.4334237500823,31.66507406788075,19.536699364403102,0.4971909090909091,2,,,,,,,2.0,,,,,,,,,0.07
