rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,hsa_pct,methylcellulose_pct,peg_3350_pct,pvp_pct,hes_pct,propylene_glycol_M
1,83.67528267838598,75.37663771182562,16.59728993312071,0.07192197932742762,6,0.0002956035247735609,0.010125966627437654,0.2896512198192055,1.7938668957931794,5.584348291962391,0.47158706818836066,,,,,
2,82.6361647336738,74.67151786267726,15.929293741993057,0.0,3,,,0.3047,1.83,1.4,,,,,,
3,82.93743201179515,74.59074072763872,16.69338256831288,0.0,3,,,0.3047,1.83,7.591115290448826,,,,,,
4,82.80793842257935,74.47341240771576,16.6690520297272,0.15452628513334557,5,,0.021755908568626667,0.29090188086986646,1.8239755032246041,4.47249335545186,0.3614698065237478,,,,,
5,81.89092841519928,74.00788599692581,15.766084836546941,0.0,4,,,0.3047,1.55,5.1,0.6,,,,,
6,81.85739444755664,73.26317433233996,17.188440230433372,0.0,6,,,0.2899576044602957,1.7513414782834178,0.4615835837570293,0.707704003623563,0.18732870431719192,0.016026022016380752,,,
7,81.0248433523999,73.17156210645042,15.706562491898945,0.0,3,,,0.3047,1.55,6.5,,,,,,
8,81.6873392209265,73.1711098016319,17.032458838589204,0.25049497150349403,6,,0.03526743487186016,0.2941883407363058,1.829949440631272,4.367861243501085,0.40144361039271126,0.000578628625587575,,,,
9,81.03534462777014,72.88751182782124,16.295665599897816,0.19067576453939283,4,,0.026845429539655977,0.299964345900692,1.820892972885946,1.3999999999999986,,,,,,
10,81.46717076901353,72.3042354604274,18.32587061717225,0.0,6,,,0.2860625865409014,1.8135231203950495,10.401160607815633,0.7527118993000945,0.09896115988898924,,0.15105513812839622,,
11,79.17628470832535,71.4341145444531,15.48434032774452,0.0,2,,,0.3047,1.55,,,,,,,
12,78.38259497679238,70.6148939608315,15.535402031921766,0.07812999999999999,3,,0.011,0.3099,1.56,,,,,,,
13,79.23370860600602,70.47412958941862,17.519158033174804,0.35954866764118143,6,,0.05062121264626898,0.3047,1.7483398388344096,7.4486024992981825,,,,,0.02736551409969934,0.014949124719964235
14,78.65792331436434,69.75940799678507,17.79703063515853,0.005818917743495754,4,,0.0008192511862082849,0.2126893144996857,1.5596471085512673,2.4773288041698294,,,,,,
15,76.60170573528256,68.91453712482966,15.374337220905803,0.0,3,,,0.1431,1.28,5.3,,,,,,
16,75.27699878531436,67.70344778804657,15.14710199453558,0.0,2,,,0.1431,1.28,,,,,,,
17,74.85811202701515,67.28503501585192,15.146154022326481,0.08523272727272727,3,,0.012,0.154,1.23,,,,,,,
18,42.51482968853868,33.35231373932604,18.325031898425287,0.4971909090909091,1,,0.07,,,,,,,,,
19,42.24753176718295,33.07992765693726,18.335208220491378,0.4971909090909091,2,,0.07,,,2.0,,,,,,
20,41.71455996144421,32.28990785929323,18.84930420430196,0.4971909090909091,2,,0.07,,,10.0,,,,,,
