rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,hsa_pct,peg_3350_pct,raffinose_M
1,102.26911050553808,93.97457265406054,16.589075702955096,0.2438296862053722,4,0.03432902276025975,0.3035901915640842,2.025414204290468,10.238687380728802,,,
2,102.1603573395917,93.7625195571867,16.795675564809986,0.327742431602466,4,0.04614318120603003,0.30367264582912457,2.024891416850783,10.211280890582106,,,
3,101.98649688412037,93.4782694766347,17.016454814971347,0.18582618473185325,4,0.02616265240049131,0.31113177891058913,2.088769249499745,10.91631336525698,,,
4,101.90845682352456,93.36885303119755,17.079207584654032,0.40677794380636506,4,0.05727066916510963,0.3038122100091106,2.0252156246546873,10.198388811205131,,,
5,101.61344359992151,93.20927047351827,16.80834625280646,0.0,3,,0.3036648188710175,2.0475851571442867,10.889275661916473,,,
6,101.35211944162751,92.69411418634056,17.3160105105739,0.2854560116479554,4,0.04018963430343671,0.31664359869740955,2.1612131483384407,9.959256937095272,,,
7,100.18438941418931,92.36797331281603,15.632832202746545,0.07812999999999999,4,0.011,0.2897,2.0,6.3,,,
8,99.97266289928923,92.19524737561503,15.554831047348422,0.14915727272727272,4,0.021,0.2911,1.96,5.9,,,
9,100.13852468521644,91.29667555565669,17.683698259119506,0.2243771399815146,4,0.03159027953150724,0.3211543115747958,2.248343724883027,9.591756770494797,,,
10,97.21675228912294,89.49861146469924,15.436281648847398,0.07812999999999999,4,0.011,0.2897,1.81,5.7,,,
11,97.16392053055641,89.17163024131571,15.984580578481406,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,,,
12,96.70391659546544,88.97527755349165,15.457278083947585,0.14915727272727272,4,0.021,0.2911,1.79,5.4,,,
13,97.33967326531888,87.69129144826559,19.296763634106597,0.0,6,,0.31414886630798183,2.0386296760163622,14.619155309399554,0.5844576205592379,0.1415011000178149,0.15484541530046902
14,91.80016471511304,84.02734516093074,15.54563910836461,0.0,3,,0.3047,1.83,1.4,,,
15,90.73001107150972,82.99268636271383,15.474649417591804,0.07812999999999999,4,0.011,0.2897,1.63,5.1,,,
16,89.96926523137837,82.20488138188304,15.528767698990674,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,,,
17,87.70791011397056,79.84158473157773,15.732650764785657,0.0,3,,0.3047,1.55,6.5,,,
18,85.08155300029237,77.09614097433797,15.970824051908794,0.0,4,,0.3047,1.55,5.1,0.6,,
19,83.70848017534037,75.70831729601993,16.000325758640873,0.0,2,,0.2436,1.71,,,,
20,80.40274978665038,72.58239364272063,15.640712287859488,0.07812999999999999,3,0.011,0.3099,1.56,,,,
