rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,dmso_M,methylcellulose_pct
1,97.66560864522688,89.81358215320506,15.704052984043635,0.0,3,0.2848122091613075,2.0070420383579592,5.427167213024573,,
2,97.04221451648857,89.33746320439822,15.409502624180709,0.14915727272727272,4,0.2911,1.96,5.9,0.021,
3,97.08058974830556,89.33733319118542,15.486513114240275,0.07812999999999999,4,0.2897,2.0,6.3,0.011,
4,96.8144619185679,89.1301963774716,15.368531082192577,0.07812999999999999,4,0.2897,1.81,5.7,0.011,
5,96.6055566702258,88.80919383507762,15.592725670296355,0.21366401558687442,4,0.28583323617611106,1.9011182940097373,4.615317723947846,0.030081968148670406,
6,96.30779524227358,88.31546131358314,15.984667857380872,0.04309836406230558,4,0.26483086844135784,1.9665745523107525,5.355658144993131,0.006067861316848347,
7,95.9438493573754,88.24484495276349,15.398008809223821,0.14915727272727272,4,0.2911,1.79,5.4,0.021,
8,96.42886773407216,88.15526511720026,16.547205233743796,0.0,4,0.2905114542074327,1.939219550803373,5.3057380570308075,,0.2072085603809582
9,95.95024359726526,87.92892931933868,16.042628555853142,0.0,3,0.26878524616110006,1.8174739495514594,8.078606617196703,,
10,95.75591730202322,87.84854632766182,15.814741948722787,0.27821703531416647,4,0.2866401766767145,1.9023424962503608,4.549627367491686,0.039170451663328186,
11,95.71842871497385,87.79934129093864,15.83817484807042,0.12046372538662461,4,0.30318474674906226,2.098320161453337,2.6545579709479354,0.01696020708118355,
12,95.20372058841234,87.24519358151647,15.91705401379172,0.05611154545454545,4,0.3171,2.11,2.8,0.0079,
13,95.13665991427378,87.09116455485712,16.09099071883333,0.0,3,0.3134552500635348,2.1456177748340215,2.7244475669738804,,
14,93.49777171773299,85.74425992383394,15.5070235877981,0.0,3,0.3047,1.83,1.4,,
15,90.84090997232171,83.12207019872346,15.437679547196492,0.07812999999999999,4,0.2897,1.63,5.1,0.011,
16,90.33526154021679,82.58790825429979,15.494706571834003,0.05611154545454545,4,0.3171,1.73,2.3,0.0079,
17,86.60029506131781,78.74375124010761,15.71308764242038,0.0,3,0.3047,1.55,6.5,,
18,86.15908695016914,78.39947885543351,15.519216189471255,0.23439,4,0.3064,2.04,11.3,0.033,
19,84.90187431663179,77.13184426905697,15.540060095149638,0.3160713636363636,4,0.3064,2.04,11.2,0.0445,
20,84.55046036579154,76.55824136197882,15.98443800762543,0.0,2,0.2436,1.71,,,
