rank,expected_improvement,predicted_viability,uncertainty,dmso_percent,n_ingredients,dextran_pct,dmso_M,ectoin_M,fbs_pct,glycerol_M,hsa_pct,human_serum_pct,hyaluronic_acid_pct,proline_M,propylene_glycol_M,ethylene_glycol_M,glucose_M,hes_pct,peg_3350_pct,creatine_M,methylcellulose_pct,pvp_pct,sucrose_M
1,15.047277225404411,61.52204277435368,14.970432679838765,0.0026875864140287753,10,0.0014063800304150976,0.00037838795026643455,0.002324456671510406,28.605159295649628,1.9548561601391015,7.124302864906426,0.000691375841194932,0.00013228533434998482,0.0009057429040163415,2.9622417814833436e-05,,,,,,,,
2,2.610355971605461,27.602978787754516,23.866884393370796,0.0,10,2.2243185559452883,,,44.98738232917644,2.1419072135919697,8.915937910261304,2.1929547143669055,1.4320427244508442,,,1.4317956175880242,2.5123054734896932,3.1919084087668304,3.4189318669629443,,,,
3,2.5994665321302035,27.546226974527606,23.86782988136321,0.0,10,2.2534442127537297,,,20.92334754401045,,5.042728236029657,1.922357044959405,0.9990503561568532,,2.056741426188145,,1.9505986384746112,2.8201847246708227,,5.8340920168472445,1.102141035396207,,
4,2.5986888862217494,27.542191932357603,23.867879786987537,0.0,10,,,,68.11141601340324,2.4576019320049847,7.256298192371591,7.66943190842867,1.0152893722486651,,1.4818403820658712,1.436573447546906,2.543770237474713,1.8380164335191358,,2.1315695329122475,,,
5,2.597551080518513,27.53639610003377,23.867875052833956,0.0,10,3.3243664460976827,,,85.16003364173856,1.7528293579513465,3.378826844264668,,,,1.1808648686585907,,4.8502908892746746,,1.4707998134520253,4.710938699675646,1.182199046663795,1.5144749828994053,
6,2.5972549681466903,27.534887485741628,23.867873771699674,0.0,10,1.060944515518944,,,10.815389431946826,1.1613841726948426,3.400566088483928,2.919003597515463,1.7242009591649148,,1.3271100179179376,,6.920215097098446,3.1734628883309153,,2.0678343524161154,,,
7,2.5972297718137183,27.534750190324388,23.867879985035987,0.0,10,3.2231173050495516,,,54.176198983928735,1.4425303444648638,3.320855283007222,3.5343564497945437,,,1.9202110498762817,,4.6675067988780565,5.460551226283306,1.3406300447591857,1.8940031906303103,,,
8,2.5971395606730345,27.534319769589487,23.867858891536272,0.0,10,,,,58.077229187830824,2.2140107246210747,5.320259738441193,3.6278987614469926,1.2459776479471147,,,2.1604631001261816,5.341644842026425,2.789182409019219,3.212138141028457,,1.4478278170941157,,
9,2.59656187367701,27.53134081729509,23.86788140923344,0.0,10,7.8560091886326155,,,10.28120850192866,2.4926985312462913,9.936258596368173,1.8190592447519904,1.9209381832520567,,,,1.2100860199739683,1.7723920355911194,2.8418712441568243,2.8018047759942464,,,
10,2.596371662643765,27.530373043865268,23.867879469701137,0.0,10,1.4689515509733582,,,10.608246853832703,2.4222733207654663,9.743596782158985,,,,2.4366922493323266,1.973836577127586,,2.31922177738023,2.6666510650399857,7.565432525744392,1.3503178050176181,,
11,2.5961612033864805,27.529294153681143,23.867883015018947,0.0,10,2.079235977709347,,,39.58339958252231,1.8473233444603319,4.215413558537787,3.4850409987040507,1.3186057628679353,,,,8.382926568257107,,1.4110189367233383,3.4647538308965666,1.3000946655129284,,
12,2.5960469988271413,27.528710951917915,23.86788332266133,0.0,10,2.6502014016392166,,,53.73364858972643,1.6085526632439697,4.325612408464108,4.278814879846436,1.4967722367457263,,1.9011418488504896,,3.3303871438319312,,,8.33307941998197,1.5975072456334543,,
13,2.5957233899942347,27.527059392004425,23.867883412385204,0.0,10,4.921187760213939,,,54.98137606228937,2.0284288526295207,1.9699954558739243,1.5845661697958846,,,1.5458088912722345,,3.129058193930484,7.935792145370866,2.8394550677969828,4.483852543243936,,,
14,2.5957051384535603,27.526966203279322,23.86788344290546,0.0,10,5.368072788095021,,,23.630546368927742,1.6819568750706189,6.640578732404537,5.573638745324431,,,2.011713241362981,,5.905859810833124,3.255006522110567,,6.815084095768992,1.6413415512082632,,
15,2.5956959756838804,27.526919438497046,23.867883444987037,0.0,10,3.29361368855375,,,61.14510592026696,1.9123284212721965,7.21461443760032,13.443563607785078,,,1.049511193914476,2.494800096351551,,3.2974564316394286,5.42977164380131,,,7.0671723754606965,
16,2.595687243741276,27.526874876670988,23.867883443974087,0.0,10,3.767415743212993,,,25.798913229058112,2.1922637478135387,6.844458276576425,3.729870050813232,,,2.2440540620559277,,2.1472785175207303,9.078481099440797,1.6361255050651244,6.55544293915012,,,
17,2.595671367874001,27.52679385248127,23.867883445241443,0.0,10,6.11105643964036,,,38.307667274109654,1.4271967504266703,1.4264192554966773,46.993332356721,,,1.0690519843316841,2.0036116962597603,,6.211372963229335,8.089900760502832,,,7.022609727459793,
18,2.5956673083655515,27.52677313474757,23.867883445236032,0.0,10,2.209841114171448,,,20.171242833449824,1.8935514741940918,1.5919869269402955,65.24428203164008,,,1.427812462333069,1.6323076821812414,,2.377376901094309,5.294764656069366,,,1.7306239541183128,
19,2.5956657399680383,27.526765130363323,23.867883445268134,0.0,10,2.660778240132708,,,35.68531072630127,,8.678694176439313,2.7447081497147434,,,1.53909219940954,1.2405463162223966,8.90370067098407,5.827220927263146,,7.229370062248198,,,0.9176534093761787
20,2.595665311798781,27.526762945400144,23.867883445122622,0.0,10,4.743040146459075,,,81.77449092289845,,2.434146364590707,8.79788949931529,1.2446821113627244,,0.8762707496483935,0.8683374605761086,,1.9051734052221225,1.1581700200569673,8.813339079073701,,,
