rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,glycerol_M,methylcellulose_pct,fbs_pct,hsa_pct,hyaluronic_acid_pct,proline_M,dmso_M,human_serum_pct
1,85.35008510819605,78.21978744150371,14.260595333384686,0.0,2,0.3047,1.55,,,,,,,,
2,85.24068627559733,76.99630234681187,16.4887678575709,0.0,4,0.28035464524520526,1.4941094507389638,0.004887578223878184,0.19847533769614945,,,,,,
3,84.46071891642964,76.8850085533008,15.151420726257657,0.0,2,0.3047,1.3835099368446309,,,,,,,,
4,84.17875782984495,75.8863329200781,16.584849819533716,0.0,2,0.2867430637525897,1.7781820628123963,,,,,,,,
5,83.20546507882095,75.58084892907655,15.249232299488796,0.0,4,0.31726259122000616,1.6138217327822608,,,1.5528405294471241,0.36977698737710263,,,,
6,84.24381676576056,74.76080191497994,18.966029701561244,0.0,4,0.2503822083420335,1.3815771733453701,,,,,0.0007102739059713824,0.00045418486261757383,,
7,81.29704326572786,72.57748456755634,17.43911739634304,0.0,4,0.30418232036547366,1.5679518667290935,,,1.8873453831327112,1.3655713291444558,,,,
8,82.48075681784127,72.24804381809652,20.465425999489483,0.0,2,0.22856886076300592,1.6616024335650899,,,,,,,,
9,79.08502466733457,72.20186472223514,13.766319890198837,0.0,2,0.1431,1.28,,,,,,,,
10,80.49059170205778,71.21658271348682,18.548017977141928,0.0,4,0.18856436950987365,1.355961508463279,,,7.1256594371281,0.496968751614177,,,,
11,76.53191523029578,69.60880784124748,13.846214778096584,0.0,2,0.1612,1.05,,,,,,,,
12,69.32669986605563,62.75681530113262,13.139769129846043,0.0,3,,,2.35,,34.7,6.0,,,,
13,63.82353769878412,58.24497082461006,11.157133748348128,0.0,2,,,1.21,,,8.3,,,,
14,61.690105187471225,55.718880257618004,11.942449859706441,0.0,2,,1.03,,,,,,0.0361,,
15,58.94176812116837,52.680952902459126,12.5216304374185,0.0,3,,0.9757,,,,8.5,,0.0676,,
16,58.27596225470719,51.953679941697146,12.644564626020081,0.0,2,,,1.86,,36.8,,,,,
17,54.698536636355286,44.04016339737586,21.31674647795884,5.0,3,,,,,,4.0,,,0.7039549468833995,4.0
18,54.43490265861888,43.806774208584244,21.256256900069282,5.0,2,,,,,,,,,0.7039549468833995,4.0
19,54.06134669833757,43.585047642437566,20.95259811180002,5.0,2,,,,,,,,,0.7039549468833995,2.0
20,53.11589204240134,42.679018828822024,20.873746427158643,5.0,1,,,,,,,,,0.7039549468833995,
