rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,hyaluronic_acid_pct,sucrose_M,fbs_pct,human_serum_pct,methylcellulose_pct,glycerol_M,hsa_pct,dextran_pct,hes_pct,proline_M,propylene_glycol_M,peg_3350_pct,pvp_pct,dmso_M
1,85.31276992732903,78.19610376647871,14.233332321700624,0.0,2,0.3047,1.55,,,,,,,,,,,,,,
2,84.60457176915003,77.0192710191456,15.17060150000884,0.0,2,0.2953173254839762,1.6692273557284794,,,,,,,,,,,,,,
3,84.23037993025127,76.98192828036375,14.496903299775068,0.0,2,0.31447945537349925,1.5491386334996138,,,,,,,,,,,,,,
4,83.81124912757271,75.46045246314463,16.701593328856156,0.0,4,0.2800301394654572,1.4794073797501495,0.21273129832895957,2.0400045812837445e-05,,,,,,,,,,,,
5,83.80879606108608,75.11901792404329,17.379556274085584,0.0,5,0.2726266607278163,1.456892638673419,,,3.6741992724780643,0.0001993397481376403,0.15824954412968573,,,,,,,,,
6,82.27447357726487,73.83513676244667,16.878673629636406,0.0,2,0.28733206326221744,1.7706975386569057,,,,,,,,,,,,,,
7,79.22729162971241,72.35387012696546,13.746843005493895,0.0,2,0.1431,1.28,,,,,,,,,,,,,,
8,79.79907031941482,70.04695784618757,19.50422494645452,0.0,6,0.20856624802875318,1.4059814797178414,,,1.731352308566379,0.2633093111696283,,0.17432409966453521,0.198656023676687,,,,,,,
9,76.37895516737967,69.46570879386707,13.826492747025203,0.0,2,0.1612,1.05,,,,,,,,,,,,,,
10,77.83600397574739,68.52022747401807,18.631553003458624,0.0,6,0.3077162119272845,1.4084405900369328,,,5.2875428370377335,,,0.11731278325190875,0.553679262175347,0.29239368938566823,,,,,,
11,76.94112106190474,67.03268791857481,19.816866286659863,0.0,6,0.27811969337312653,1.427215553423844,,,,0.12477434720452862,,0.34558827824920946,0.3604404913020831,,0.16307286064125925,,,,,
12,69.27317506114264,62.71796567868977,13.11041876490574,0.0,3,,,,,34.7,,,2.35,6.0,,,,,,,
13,63.77835035489532,58.217150408350186,11.122399893090273,0.0,2,,,,,,,,1.21,8.3,,,,,,,
14,61.66266299033958,55.70780217973083,11.909721621217495,0.0,2,,1.03,,,,,,,,,,0.0361,,,,
15,60.07510930314538,52.95444766338447,14.241323279521817,0.0,2,,,,0.3991,,,,,,,,,2.46,,,
16,58.985008064908016,52.73959661290854,12.490822903998941,0.0,3,,0.9757,,,,,,,8.5,,,0.0676,,,,
17,58.24340286834048,51.9362734010202,12.614258934640562,0.0,2,,,,,36.8,,,1.86,,,,,,,,
18,58.322970300022114,51.221040521225405,14.203859557593416,0.0,6,,1.53,,,33.9,,,,1.8,,,0.1495,,3.6,7.2,
19,54.37737496784305,44.27506336497189,20.20462320574233,5.0,3,,,,,,4.0,,,4.0,,,,,,,0.7039549468833995
20,53.729971516365396,43.81994520345412,19.82005262582256,5.0,2,,,,,,2.0,,,,,,,,,,0.7039549468833995
