rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,hsa_pct,methylcellulose_pct,peg_3350_pct,dextran_pct,pvp_pct,propylene_glycol_M,dmso_M,hes_pct,glycerol_M
1,82.6361647336738,74.67151786267726,15.929293741993057,0.0,3,0.3047,1.83,1.4,,,,,,,,,
2,81.89092841519928,74.00788599692581,15.766084836546941,0.0,4,0.3047,1.55,5.1,0.6,,,,,,,,
3,82.43829871842199,73.61309022255723,17.650416991729525,0.0,6,0.284511090651613,1.7602156266546454,8.314724874672446,0.585793775460968,0.18006079525255264,0.12782655492402875,,,,,,
4,81.81878661983612,73.22728234367548,17.183008552321265,0.0,6,0.30414734163573176,1.855738073533667,3.009177813889171,0.21001211005840828,0.25674593974991616,,0.0002748776347375044,,,,,
5,81.0248433523999,73.17156210645042,15.706562491898945,0.0,3,0.3047,1.55,6.5,,,,,,,,,
6,81.76026891568637,73.06954192229874,17.381453986775266,0.0,6,0.2860625865409014,1.6275765703565428,9.471427857623105,0.7527118993000945,0.09896115988898924,,,0.15105513812839622,,,,
7,81.7485608515072,73.00989252982768,17.477336643359035,0.0,5,0.3047,1.83,7.709123405955289,,,0.2645225552884529,,,0.025466959371461817,,,
8,80.93172451768176,71.99564110620301,17.8721668229575,0.07480015778136281,5,0.3096783798856148,1.8525878996174274,1.3940668884024205,1.0751421608081877,,,,,,0.010531188219569831,,
9,79.89498640009404,71.91254732234549,15.964878155497093,5.0,1,,,,,,,,,,0.7039549468833995,,
10,79.17628470832535,71.4341145444531,15.48434032774452,0.0,2,0.3047,1.55,,,,,,,,,,
11,79.4225546764094,71.42890475197015,15.987299848878498,5.0,2,,,2.0,,,,,,,0.7039549468833995,,
12,78.38259497679238,70.6148939608315,15.535402031921766,0.07812999999999999,3,0.3099,1.56,,,,,,,,0.011,,
13,79.34781591272208,70.29986731598895,18.095897193466268,0.0,5,0.2154630687183859,1.535927698754087,4.341370565146214,0.3731341011286222,,,,,,,0.0813871030310418,
14,78.72767191304627,69.70284260714703,18.049658611798453,0.0448969975093009,4,0.22531761085032642,1.6614375280166187,1.3999999999999986,,,,,,,0.006321092699376807,,
15,77.97064193001067,69.11832201731936,17.704639825382635,4.792437784348074,4,0.002949553651464154,0.31102389059788327,1.3999999999999986,,,,,,,0.6747320571845491,,
16,76.60170573528256,68.91453712482966,15.374337220905803,0.0,3,0.1431,1.28,5.3,,,,,,,,,
17,75.27699878531436,67.70344778804657,15.14710199453558,0.0,2,0.1431,1.28,,,,,,,,,,
18,74.85811202701515,67.28503501585192,15.146154022326481,0.08523272727272727,3,0.154,1.23,,,,,,,,0.012,,
19,76.67199330967004,67.19222535531954,18.959535908701007,0.0,6,0.27686181173669544,1.78563339930355,7.63295000004544,,,,0.11723255806765742,0.3081065817705264,,,,0.22500426798324402
20,75.23837884647014,66.68477857377158,17.10720054539712,5.0,2,,,10.0,,,,,,,0.7039549468833995,,
