rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,raffinose_M,methylcellulose_pct,hsa_pct
1,101.2316375758875,92.72595635126314,17.011362449248736,0.2338558174570338,5,0.03292479191126804,0.30647312494162077,2.031718656763639,10.330075346336407,0.1497322715936331,,
2,100.18438941418931,92.36797331281603,15.632832202746545,0.07812999999999999,4,0.011,0.2897,2.0,6.3,,,
3,99.97266289928923,92.19524737561503,15.554831047348422,0.14915727272727272,4,0.021,0.2911,1.96,5.9,,,
4,101.0664959944421,91.96562472232242,18.201742544239387,0.4415100016188267,4,0.06216062994761415,0.3154474448382896,2.1075301784259204,12.070246916736929,,,
5,100.22545083145049,91.40148421810545,17.647933226690075,0.0,4,,0.3060976050029539,2.036569220644169,10.940798587419387,,0.23596801190696595,
6,99.95453934349196,90.83162315890729,18.245832369169324,0.0,3,,0.3136127151145704,2.2105177163971295,12.54063280570808,,,
7,99.95113794301993,90.80270635175617,18.296863182527517,0.5054899243614167,5,0.07116842657078695,0.30645679639285184,2.029772224312531,10.01594954333358,,0.24025668064455974,
8,99.44619716730216,90.20021941356455,18.49195550747521,0.660493139131371,4,0.0929914825348148,0.28891806405155473,1.9250515637751393,11.590978075289298,,,
9,99.20428427341683,89.9735111749313,18.461546196971067,0.0,3,,0.2976498599618191,1.9379272129407157,15.858366463222934,,,
10,97.21675228912294,89.49861146469924,15.436281648847398,0.07812999999999999,4,0.011,0.2897,1.81,5.7,,,
11,98.42924742657452,89.1948272082212,18.46884043670665,0.49950993906001107,4,0.07032649852374405,0.3119201387713055,2.302410882914681,8.263028116651231,,,
12,97.16392053055641,89.17163024131571,15.984580578481406,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,,,
13,96.70391659546544,88.97527755349165,15.457278083947585,0.14915727272727272,4,0.021,0.2911,1.79,5.4,,,
14,91.80016471511304,84.02734516093074,15.54563910836461,0.0,3,,0.3047,1.83,1.4,,,
15,90.73001107150972,82.99268636271383,15.474649417591804,0.07812999999999999,4,0.011,0.2897,1.63,5.1,,,
16,89.96926523137837,82.20488138188304,15.528767698990674,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,,,
17,87.70791011397056,79.84158473157773,15.732650764785657,0.0,3,,0.3047,1.55,6.5,,,
18,85.08155300029237,77.09614097433797,15.970824051908794,0.0,4,,0.3047,1.55,5.1,,,0.6
19,83.70848017534037,75.70831729601993,16.000325758640873,0.0,2,,0.2436,1.71,,,,
20,80.40274978665038,72.58239364272063,15.640712287859488,0.07812999999999999,3,0.011,0.3099,1.56,,,,
