rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,methylcellulose_pct,glycerol_M,peg_3350_pct,raffinose_M,hsa_pct
1,97.04221451648857,89.33746320439822,15.409502624180709,0.14915727272727272,4,0.021,0.2911,1.96,5.9,,,,,
2,97.08058974830556,89.33733319118542,15.486513114240275,0.07812999999999999,4,0.011,0.2897,2.0,6.3,,,,,
3,96.8144619185679,89.1301963774716,15.368531082192577,0.07812999999999999,4,0.011,0.2897,1.81,5.7,,,,,
4,95.9438493573754,88.24484495276349,15.398008809223821,0.14915727272727272,4,0.021,0.2911,1.79,5.4,,,,,
5,95.20372058841234,87.24519358151647,15.91705401379172,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,,,,,
6,95.62175615955849,87.11267725945717,17.018157800202633,0.0,4,,0.29042450097818906,1.9554037415015462,5.010391401775424,0.25460968211771895,,,,
7,93.49777171773299,85.74425992383394,15.5070235877981,0.0,3,,0.3047,1.83,1.4,,,,,
8,93.12390772882574,84.60630957585721,17.035196305937063,0.0,3,,0.27529624770064826,2.208351413168812,2.609054604783216,,,,,
9,93.1644014148645,84.47967132142682,17.36946018687535,0.0,6,,0.2794730390639173,1.8645437916591077,4.745483645965614,,0.04737295883505155,0.13633845560065794,0.23783054411889204,
10,92.82195890530858,84.29872216183611,17.04647348694492,0.0,3,,0.24175147376335457,1.8839072264079233,8.237181082847126,,,,,
11,90.84090997232171,83.12207019872346,15.437679547196492,0.07812999999999999,4,0.011,0.2897,1.63,5.1,,,,,
12,91.52607147632735,83.04771283999699,16.95671727266071,0.0,3,,0.3497403720985081,2.024693459459157,2.989909392046127,,,,,
13,90.33526154021679,82.58790825429979,15.494706571834003,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,,,,,
14,91.56519003169967,82.50059998758081,18.129180088237703,0.0,4,,0.2637140851645661,1.8994222851607518,6.770892595892602,,,,,0.8692474368882038
15,90.79611112167639,82.03630641587439,17.519609411603994,0.0,3,,0.319656346522343,2.3154403260830536,1.0721807301044115,,,,,
16,91.00070098106525,81.83444326455702,18.332515433016468,0.0,3,,0.2939486020662473,2.0682124545871834,,,,,,0.7953689938352917
17,86.60029506131781,78.74375124010761,15.71308764242038,0.0,3,,0.3047,1.55,6.5,,,,,
18,86.15908695016914,78.39947885543351,15.519216189471255,0.23439,4,0.033,0.3064,2.04,11.3,,,,,
19,84.90187431663179,77.13184426905697,15.540060095149638,0.3160713636363636,4,0.0445,0.3064,2.04,11.2,,,,,
20,84.55046036579154,76.55824136197882,15.98443800762543,0.0,2,,0.2436,1.71,,,,,,
