rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,methylcellulose_pct
1,82.93780018669369,76.28497475526888,13.305650862849626,0.07812999999999999,4,0.011,0.2897,1.81,5.7,
2,82.41974273275316,75.74430208719038,13.350881291125583,0.0,3,,0.2848,1.81,4.9,
3,82.39033389579276,75.73202253389637,13.316622723792797,0.14915727272727272,4,0.021,0.2911,1.79,5.4,
4,83.03588993840607,75.63135413878243,14.809071599247288,0.0,4,,0.33136403433548955,1.890422173099731,6.66271132221179,0.25078141550355
5,82.97387737145291,75.48451665190291,14.978721439100028,0.0,3,,0.3619979393164431,1.9439134681350763,6.553897209163325,
6,81.08053718381487,74.44732737672939,13.266419614170962,0.14915727272727272,4,0.021,0.2911,1.96,5.9,
7,81.13930395004593,74.42427427261231,13.43005935486724,0.0,3,,0.3047,1.83,1.4,
8,80.81511266193269,74.16227519136524,13.305674941134896,0.07812999999999999,4,0.011,0.2897,2.0,6.3,
9,80.87512370583849,74.15084511991188,13.448557171853235,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,
10,81.35206781754405,73.91699150994947,14.870152615189177,0.0,3,,0.3459932933037947,1.7412724583559338,10.896857752647344,
11,80.66837500736139,73.83551605714842,13.66571790042593,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,
12,80.52956415714276,73.83005016933075,13.399027975624014,0.07812999999999999,4,0.011,0.2897,1.63,5.1,
13,80.34837851493965,73.65237861157317,13.391999806732978,0.0,3,,0.2848,2.01,5.4,
14,80.25493624852155,73.58847734908117,13.332917798880738,0.21379209090909088,4,0.0301,0.2858,1.9,4.6,
15,80.72676535254836,72.92316914362156,15.60719241785358,0.0,3,,0.3704481391968516,2.15910386258111,3.7431019095146874,
16,80.1442896614084,72.80944569200133,14.669687938814134,0.0,3,,0.339725887784301,2.0225954266246458,12.145547075295545,
17,79.38866723855635,72.67267269549723,13.43198908611826,0.27842690909090906,4,0.0392,0.2866,1.9,4.5,
18,79.76842406330346,71.90606648303853,15.72471516052985,0.0,3,,0.3802205717361879,1.8337891835065987,2.9659845641298825,
19,77.82468507430701,70.21599743112482,15.217375286364392,0.0,3,,0.34796482636968873,2.318492112330378,3.4468747386230585,
20,77.92882025571521,69.18598233396919,17.48567584349202,0.0,3,,0.40825347613883506,2.0601673789545396,7.067937920460096,
