rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,dmso_M,glucose_M,trehalose_M,methylcellulose_pct,sucrose_M,betaine_M,propylene_glycol_M,creatine_M,dextran_pct,human_serum_pct,raffinose_M
1,69.70719506498013,14.745051162182278,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,
2,68.4422043454933,14.819739494395664,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,
3,60.62004762511214,14.506926732519897,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,
4,51.55063526151624,13.981018956237527,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,
5,46.649337907375156,22.93341927863194,0.28837912253371506,2,0.15975251685790637,,,,,,0.04060118197710055,,,,,,,,,,
6,41.01677431936197,20.27708205190659,0.0,2,,,,,5.755282984954038,0.055161438012235775,,,,,,,,,,,
7,38.9127909011511,24.572695203048422,0.0,3,0.13471881529743085,,,,,,,0.9360773723572036,0.23276985623859892,,,,,,,,
8,38.53054187032598,12.881736024535774,0.0,2,,1.7297596552503902,,,7.299645814204539,,,,,,,,,,,,
9,37.28725780377917,24.22279711779976,0.09093248081212851,5,,,,,2.4247782766798442,,0.012802473940015534,,0.09733208845134234,1.1082556629151974,0.4606399154671841,,,,,,
10,37.21552242402795,24.44064372782282,0.0,3,,,,,,0.02834741448531214,,1.7122919366988643,,,,0.33294840842112666,,,,,
11,36.89408055007783,24.50254246964218,0.0,3,,,,,0.7860278108894425,,,0.0052238433640017234,,,0.5240296059738475,,,,,,
12,36.55988983419594,20.952102470821245,0.0,3,,,,,8.834919151977477,,,,,,0.015830616453093915,,0.16730765630823013,,,,
13,36.54216391605377,24.89324178165547,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,
14,36.49067463321185,23.44826143101477,0.0,2,,,,,3.8525071836192195,,,,,,,,1.1492774211209218,,,,
15,36.41439082230292,24.906869287008472,0.0,4,0.12007012931075062,,,,,0.019329823827566928,,,,,,,,1.3070310198598334,2.1875870995826032,,
16,36.05605957911814,24.792571749150863,0.0,2,,,,,,,,,,,,0.08854662326102092,,,,75.55296552296711,
17,36.00422375413639,24.65507284504809,0.0,2,,,,1.9834200866438598,,,,,,,0.380435802891982,,,,,,
18,35.87328319829602,24.82294138536267,0.0,4,,,73.88362726381204,1.6258910049646529,,,,,,,,,1.9691879517869524,,,,0.7173445183964586
19,35.170207605845405,23.67577603903078,0.0,3,,0.11091060638315053,,,3.180982758754162,,,,,,,,,,,,0.2786587127412299
20,34.918172324001034,24.7407126285933,0.0,2,,,,0.7583116007014962,,,,,,,,,,,2.4698491771103184,,
