rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,raffinose_M,betaine_M,human_serum_pct,dmso_M,methylcellulose_pct,sucrose_M,trehalose_M,dextran_pct,creatine_M,hes_pct,peg_3350_pct,propylene_glycol_M,pvp_pct,glucose_M
1,78.21919806969512,14.260985044346736,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,,
2,72.21176114998936,13.769059295496268,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,,
3,69.5941606948885,13.846008232775722,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,,
4,62.75536863854537,13.139891810975447,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,,
5,52.70600283336789,12.524008240948437,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,,,,
6,37.27278341812342,11.105707860707723,0.0,2,,1.7297596552503902,,,7.299645814204539,,,,,,,,,,,,,,,
7,36.885479148200375,24.513166682397557,0.0,2,0.31215036443764016,,,,,,0.9240646770330664,,,,,,,,,,,,,
8,35.60938965158768,24.524755379569577,0.0,2,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,,,
9,34.99029301691127,23.89371149826242,0.09093248081212851,5,,,,,2.4247782766798442,,,,,0.012802473940015534,1.1082556629151974,0.4606399154671841,0.09733208845134234,,,,,,,
10,34.449768400717346,24.630164839528828,0.0,2,,,,0.7583116007014962,,,,,,,,,,2.4698491771103184,,,,,,
11,34.402879501945364,24.70588867582085,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,,0.13318992281528919,,0.03427662704984398,,,,,2.236002273870654,,,,,
12,34.16289093733684,24.4412392127548,0.36875529041479055,6,,,,,,0.11147335246676054,,,,0.05191742217538329,,,,,,1.4753433905956326,1.3963688162782795,0.9381621893389647,2.1058355362859924,
13,34.051092130263484,23.807377179814587,0.0,2,,,,,3.8525071836192195,,,,,,,,,,,,,1.1492774211209218,,
14,33.97202815694499,24.68422509036335,0.0,4,,,73.88362726381204,1.6258910049646529,,,0.7173445183964586,,,,,,,,,,,1.9691879517869524,,
15,33.321678916577,24.70853198802326,0.0,3,,,,,9.222814111948171,0.11814680309552272,0.30025776208853405,,,,,,,,,,,,,
16,33.32069967677926,23.66509878859797,0.0,2,,,,,,0.06079589469955993,,,,,,,,,,,4.796562499875967,,,
17,33.23290399612134,24.715665161424173,0.0,2,,2.226624728511492,,,,,,,33.4544668109086,,,,,,,,,,,
18,33.16603744993551,15.616076229090305,0.0,3,,,,,0.7860278108894425,,,,,,,0.5240296059738475,,,,,,,,0.0052238433640017234
19,33.13769629411568,24.71373763292129,0.0,5,,0.13895158621019255,58.235598634414444,,,,,0.0766161601173056,64.52989722748069,,,,,,,,,,4.760511939304846,
20,33.06224313740921,24.70484033268403,0.0,4,,2.109686406029329,,2.4353798385736947,4.571093381963168,,0.829819560838242,,,,,,,,,,,,,
