rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,betaine_M,human_serum_pct,propylene_glycol_M,sucrose_M,dextran_pct,dmso_M,hes_pct,peg_3350_pct,pvp_pct,methylcellulose_pct,trehalose_M,creatine_M,glucose_M
1,78.2020415955511,14.233957100360572,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,
2,72.34725806402673,13.749884679803701,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,
3,69.45004980300502,13.826492656317367,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,
4,62.71638074840032,13.111393119034508,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,
5,52.77144649455212,12.494120229314953,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,,,
6,37.30019892242002,11.08805491831432,0.0,2,,1.7297596552503902,,,7.299645814204539,,,,,,,,,,,,,,
7,35.84428600555233,23.56452301511355,0.0,2,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,,,
8,35.8226671507837,23.605837510401415,0.0,3,,0.3625101908543915,,,,,,,2.440388225313204,0.6072126026993657,,,,,,,,,
9,34.74115750689852,23.69772361923734,0.0,2,,,,0.7583116007014962,,,,,,,2.4698491771103184,,,,,,,,
10,34.3840889398402,23.477585395533037,0.36875529041479055,6,,,,,,0.11147335246676054,,,0.9381621893389647,,,0.05191742217538329,1.4753433905956326,1.3963688162782795,2.1058355362859924,,,,
11,34.21381698607567,23.552542995351338,0.09093248081212851,5,,,,,2.4247782766798442,,,,,0.4606399154671841,,0.012802473940015534,,,,1.1082556629151974,0.09733208845134234,,
12,34.20388467597236,23.651069396643905,0.0,4,,0.8143126001621945,,,,,0.39943765145257787,,,,1.1991117249706695,,,,,,0.09765566384577162,,
13,33.71532020602287,23.764277547502893,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,0.13318992281528919,,,,,0.03427662704984398,,,,,,2.236002273870654,
14,33.64815708271081,22.99128380010228,0.0,2,,,,,3.8525071836192195,,,,1.1492774211209218,,,,,,,,,,
15,33.51647990215618,23.75030987392225,0.0,3,,1.391546471883801,,,,,,,,,3.3084010509849735,,,,,,0.13401894145470405,,
16,33.46780668287106,23.763148420900553,0.0,2,,2.226624728511492,,,,,,33.4544668109086,,,,,,,,,,,
17,33.37259264808032,23.761143623381418,0.0,5,,0.13895158621019255,58.235598634414444,,,,0.0766161601173056,64.52989722748069,,,,,,,4.760511939304846,,,,
18,33.28119974837785,23.764364059434737,0.181545760927232,3,,,,,,0.31819873492798223,,,,,2.4310163563176035,0.025560007298087193,,,,,,,
19,33.212105095606475,23.75255217365683,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,26.213941563244536,,,,,,,,,,,
20,33.18400636723254,16.439074630320842,0.0,3,,,,,0.7860278108894425,,,,,0.5240296059738475,,,,,,,,,0.0052238433640017234
