rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,propylene_glycol_M,sucrose_M,betaine_M,human_serum_pct,creatine_M,dmso_M,hes_pct,peg_3350_pct,pvp_pct,dextran_pct,trehalose_M
1,71.36123618095141,15.488883976349582,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,
2,67.69806049000883,15.151571641827971,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,
3,65.57904887509747,15.454395219220254,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,
4,61.12904532025897,15.25224530366712,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,
5,51.529970894224505,14.720841300068482,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,
6,50.95356564049158,16.22871988036114,0.0,3,,0.3625101908543915,,,,,2.440388225313204,0.6072126026993657,,,,,,,,,
7,43.06961106567456,23.909877940796363,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,
8,41.80237209648932,24.089603826557518,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,,,0.13318992281528919,,2.236002273870654,0.03427662704984398,,,,,
9,41.570972999865745,23.82418266158331,0.36875529041479055,6,,,,,,0.11147335246676054,0.9381621893389647,,,,,0.05191742217538329,1.4753433905956326,1.3963688162782795,2.1058355362859924,,
10,41.38002850648647,24.034285342522228,0.0,2,,,,0.7583116007014962,,,,,,,,,,,,2.4698491771103184,
11,40.69313174260165,24.10565786465312,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,
12,40.653870087930784,24.092650786548933,0.0,3,,1.391546471883801,,,,,,,,,,,,,,3.3084010509849735,0.13401894145470405
13,40.59791770820255,24.10368155500159,0.0,5,,0.13895158621019255,58.235598634414444,,,,,,0.0766161601173056,64.52989722748069,,,,,4.760511939304846,,
14,40.5072983000085,24.103447951502137,0.0,3,,,,,,,1.6699315241731902,0.6118350545991809,,,,,,,,2.367722614039034,
15,40.504142985439636,24.106856142357824,0.181545760927232,3,,,,,,0.31819873492798223,,,,,,0.025560007298087193,,,,2.4310163563176035,
16,40.43743006142729,24.095212241776483,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,
17,40.39621922137017,23.878365284655445,0.0,5,,,,,7.0691957407922725,,,0.000165496501144613,,10.820720356897263,,,,0.9283920021116754,,0.8222885277766956,
18,40.36494441497074,24.101665250066482,0.0,4,0.2530316247182633,,,,8.07231291680353,0.17667392960266276,,,,,,,,3.784005611909281,,,
19,40.330424911472434,24.101890390852,0.0,5,0.02623148140320558,1.5702063234570018,40.01358863002916,,,,1.0112356090716257,,,,,,,,6.188469022925339,,
20,40.26856218445132,24.109045705526174,0.0,2,,,,,,,,,,,,,,,5.7297917130625775,3.977418568978938,
