rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,creatine_M,pvp_pct,raffinose_M,betaine_M,human_serum_pct,proline_M,propylene_glycol_M,sucrose_M,dmso_M,hes_pct,peg_3350_pct,dextran_pct,methylcellulose_pct,trehalose_M
1,74.05261519599149,16.1323057801748,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,
2,66.67264859772817,15.872959377448083,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,
3,64.35870828603747,16.139990165873055,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,
4,61.72834703428673,16.437780769931926,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,
5,52.13129095301456,28.04809043258357,0.0,4,,0.8650657100668679,,,,0.6582301793814394,9.304916218764344,0.05762338168416181,,,,,,,,,,,
6,52.03585511030299,28.04353431139555,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,
7,51.7651999740461,15.935260787446888,0.0,3,,0.975688891057823,,,8.524649388815355,,,,,,0.06755325354947417,,,,,,,,
8,51.75186980160663,17.33453847012114,0.0,3,,0.3625101908543915,,,,,,,,,,2.440388225313204,0.6072126026993657,,,,,,
9,50.5089791329416,28.019156386275505,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,2.236002273870654,,,0.13318992281528919,,,,,0.03427662704984398,,,,,
10,50.316240257297125,27.97020630333427,0.36875529041479055,6,,,,,,,2.1058355362859924,,,,0.11147335246676054,0.9381621893389647,,0.05191742217538329,1.4753433905956326,1.3963688162782795,,,
11,49.840087753147955,28.170421898723426,0.021964291540294542,3,,,,,,1.495639354918259,9.222512703352146,,,,,,,0.003092374336915909,,,,,
12,49.76330384206831,28.110907001848624,0.0,2,,1.0187002112928445,,,,,,,,,,2.3946808371041737,,,,,,,
13,49.659375790428385,28.210641513768376,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,,
14,49.40367641239558,28.201716375194202,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,,
15,49.38416367899256,28.016702619994135,0.0,4,,,,,7.0691957407922725,,,,,10.820720356897263,,,,,,0.9283920021116754,0.8222885277766956,,
16,49.3040815496385,28.14519563871956,0.12575607710977962,6,,,,,,,3.318636104333609,0.33960641424640037,,,0.00948807510420202,2.2375318915661553,0.7749163873801383,0.01770532251641592,,,,,
17,49.29439705513019,28.21316775369291,0.1104025430962471,5,,1.8106786516500089,,,,,9.956754337623563,0.9273665840371063,,,,,,0.015543683272222171,,,,2.8994291686393403,
18,49.287793435042346,28.211934734618083,0.0,8,,0.04262636516044638,,,,,7.731629973476213,0.46470068189745695,0.15314739564927182,2.015046803590015,0.03332779587333673,,0.14741877335525955,,,,,,0.0797791114432349
19,49.20795093974577,28.213302198343484,0.23233494450753234,7,,,50.01220750307749,,,,4.547125610831078,0.3766972592935105,,,0.2691682564721326,,,0.032710666703991496,4.553677044654809,1.205663494216671,,,
20,49.18544306070992,28.213722556289024,0.0,2,,,,,,,,,,64.96736877235892,,0.7462018229037337,,,,,,,
