rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,fbs_pct,sucrose_M,ectoin_M,peg_3350_pct,betaine_M,propylene_glycol_M,raffinose_M,creatine_M,hes_pct,human_serum_pct,methylcellulose_pct,dextran_pct,dmso_M,glucose_M
1,56.156815566396915,12.753433277597294,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,,,
2,53.63964864170117,13.456492323852027,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,,,,
3,50.61600418100653,14.053733848477055,0.0,2,1.8607624141879884,,,,36.763067803954364,,,,,,,,,,,,,
4,48.632490291829356,14.990489187358994,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,,,,
5,48.21315761996528,22.25068989359704,0.0,2,,,,,,,0.131440350994663,0.3574839446586464,,,,,,,,,,
6,42.713241099347655,16.42819065198091,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,0.030071171300392607,,,,,,,,,
7,41.84528762375124,21.4386866983965,0.0,5,,,0.18798211925439096,,,0.4123342156333225,,,0.3208716271125875,0.3967567808958411,0.17603280108000074,,,,,,,
8,41.285621976284816,24.218848931520547,0.0,3,,,,,,,0.2154915314236292,0.8922216805723859,,,0.17478671504515797,,,,,,,
9,38.26941902915573,24.288022432251523,0.0,2,,9.29425745026514,,,,,,,,,,1.5361855350435116,,,,,,
10,38.26030382056527,24.53130541779487,0.0,2,,,,,,,,,,,,,0.47196701697378995,86.52749576778446,,,,
11,38.154621500702014,23.593215803410878,0.0,2,1.1003605163448422,,,,,0.2670609402393602,,,,,,,,,,,,
12,37.01839459048566,24.774508412828364,0.0,4,,0.4317373579701167,,0.06586438672728095,,,,,0.36298995499264775,,,,,,1.6481481572943713,,,
13,36.83853751083983,24.87187678647342,0.0,3,0.7386698115668983,,,0.05823892483666854,,,,,,,,,,,,2.542612314448646,,
14,36.080914528447565,24.661841891355845,0.14092026172558447,3,,,,,58.62343971719093,,,,,,0.44989585598809345,,,,,,0.019840303071565715,
15,35.57710365889507,24.806546478675102,0.0,2,,8.65645036372732,,,,,,,,,,,,,2.4134970383749987,,,
16,35.480310238135985,22.169719535509532,0.0,2,1.2061800574751635,,,,72.46990887421555,,,,,,,,,,,,,
17,35.470293552902206,24.893997250115003,0.0,2,,,,,,,0.07825394954022824,,,,,,,,,,,2.498931948673647
18,35.4561433527567,24.748416320875336,0.0,2,,,,,,0.3991093505747292,,,,2.4567001218060853,,,,,,,,
19,34.940554790469335,24.919313457553812,0.0,2,,,,,,,,,,,,,4.320247996337416,78.27917112125333,,,,
20,34.73549786093002,24.46279208891858,0.0,2,,,,,27.69111805301537,,,,,,,,,,,1.2324745813255145,,
