rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,fbs_pct,sucrose_M,betaine_M,propylene_glycol_M,raffinose_M,hes_pct,human_serum_pct,creatine_M,dextran_pct,pvp_pct,ectoin_M,peg_3350_pct,methylcellulose_pct,dmso_M
1,58.24246638148078,11.16482712359767,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,,,
2,55.73080306748811,11.943964762084821,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,,,,
3,51.951224804551245,12.644323318861954,0.0,2,1.8607624141879884,,,,36.763067803954364,,,,,,,,,,,,,
4,49.860216851379064,13.639435657628711,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,,,,
5,41.473786860716615,18.735398632948897,0.0,3,1.8266262755981153,4.652056122837181,,,,,0.030071171300392607,,,,,,,,,,,
6,39.99162762063834,20.42599423749283,0.0,5,,,0.18798211925439096,,,0.4123342156333225,0.3208716271125875,0.3967567808958411,0.17603280108000074,,,,,,,,,
7,37.813633892982544,24.26060506236531,0.0,2,,,,,,,,,,0.47196701697378995,86.52749576778446,,,,,,,
8,34.60640549083991,24.60736698885801,0.0,2,,9.29425745026514,,,,,,,,,,1.5361855350435116,,,,,,
9,34.493884862886425,24.652873984319886,0.0,2,,,,,,,,,,4.320247996337416,78.27917112125333,,,,,,,
10,34.35930157547922,24.661899798681382,0.0,3,0.7386698115668983,,,0.05823892483666854,,,,,,,,,2.542612314448646,,,,,
11,33.89266350032872,24.633581979985863,0.0,2,,,,,,,,,0.3533522280260528,,,,,5.836561118508721,,,,
12,33.84171699352164,24.712163908218347,0.0,2,,,,,,,,0.5051762524153982,,,,,,,0.4917430270958011,,,
13,33.73880974847606,24.521463236987195,0.0,3,2.331599234499823,,,0.15287806375618734,,,,0.18211324386299937,,,,,,,,,,
14,33.695666630251424,24.714013890211497,0.0,2,,,,,,,,0.7504550522332367,,,,,,,0.4934614782518001,,,
15,33.49525836477387,24.697509742803497,0.0,6,,1.7853290453971482,1.5282637926384668,0.14953215480442156,33.853257900944115,,,,,,,,,7.177033617093369,,3.5916393863395313,,
16,33.44479580319595,24.658460951247665,0.0,2,,,,,,0.3991093505747292,,2.4567001218060853,,,,,,,,,,
17,33.35471448140353,24.702408924878657,0.0,2,,8.65645036372732,,,,,,,,,,,,,,,2.4134970383749987,
18,33.282979191237864,24.708481695255653,0.0,2,,,,0.15935132798069174,,,,,,,60.944658882522575,,,,,,,
19,33.27669821028809,24.680351460929533,3.7136543188165962,4,,2.6197556427851754,,,,,,1.0171602688482495,,,,,,,,6.593990799053714,,0.5228490657491689
20,33.275034182565165,23.716135732457296,0.0,2,,,0.6291610876136768,,,,,,0.42954912352067554,,,,,,,,,
