rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,raffinose_M,betaine_M,hes_pct,human_serum_pct,dmso_M,dextran_pct
1,58.21362024436877,11.131570620758318,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,
2,55.711468862519865,11.91114642842759,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,
3,52.95311272917814,14.243021897891964,0.0,2,,,,,2.4567001218060853,0.3991093505747292,,,,,,,,,
4,51.93447220287193,12.614118321104078,0.0,2,1.8607624141879884,,,,,,36.763067803954364,,,,,,,,
5,51.216777064077746,14.217019130319565,0.0,6,,1.7853290453971482,1.5282637926384668,0.14953215480442156,,,33.853257900944115,3.5916393863395313,7.177033617093369,,,,,,
6,49.91701955719094,13.613949815403883,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,
7,41.83734856818113,22.207840632113268,0.0,2,,,0.6291610876136768,,,,,,,0.42954912352067554,,,,,
8,39.59907225451498,20.38577767894053,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,,,0.030071171300392607,,,,
9,38.04853024694719,23.289484247062124,0.0,2,,,,,,,,,,,,0.47196701697378995,86.52749576778446,,
10,36.77943472508062,23.17029142322458,0.0,2,,,0.503653739482901,,,,,,,0.7626534899114843,,,,,
11,36.6042208701995,22.848738179224338,0.0,5,,,0.18798211925439096,,0.3967567808958411,0.4123342156333225,,,,0.17603280108000074,0.3208716271125875,,,,
12,34.77400073731111,14.176973558681626,3.7136543188165962,4,,2.6197556427851754,,,1.0171602688482495,,,6.593990799053714,,,,,,0.5228490657491689,
13,34.72878121685107,23.697833533655466,0.0,2,,,,,,,,,,,,4.320247996337416,78.27917112125333,,
14,34.55888585405643,23.714266863734615,0.0,3,0.7386698115668983,,,0.05823892483666854,,,,,,,,,,,2.542612314448646
15,34.12108572455685,23.677761802484213,0.0,2,,,,,,,,,5.836561118508721,0.3533522280260528,,,,,
16,34.04096297925194,23.742833732374493,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,0.2666003321845201,,,,1.0006467156653331
17,33.51787554520251,23.75567692546085,0.0,2,,,,0.15935132798069174,,,,,,,,,60.944658882522575,,
18,33.441554216944446,23.7573890833956,3.447058542152564,3,,,0.1324469832564923,,,,,,,,,,53.84276374653468,0.48531478258899535,
19,33.43659611645519,23.56199469529454,3.7269886957076976,4,0.7569190190435626,3.7895590981250757,,,1.1483650254320568,,,,,,,,,0.5247264258643886,
20,33.40724833990233,23.728241894661966,0.14092026172558447,3,,,,,,,58.62343971719093,,,0.44989585598809345,,,,0.019840303071565715,
