rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,hes_pct,human_serum_pct,fbs_pct,peg_3350_pct,pvp_pct,betaine_M,dextran_pct,dmso_M,creatine_M,raffinose_M,ectoin_M,trehalose_M
1,57.63911430313247,14.020330510888051,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,,,
2,54.17174549011911,14.589006168833485,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,,,,
3,54.087514720457825,16.560904944178326,0.0,2,,,,,2.4567001218060853,0.3991093505747292,,,,,,,,,,,,
4,53.102889212782536,27.011474706017278,0.0,2,,,,,,,0.47196701697378995,86.52749576778446,,,,,,,,,,
5,51.61294964493521,15.219715288756136,0.0,2,1.8607624141879884,,,,,,,,36.763067803954364,,,,,,,,,
6,51.368663747086906,16.579424210513974,0.0,6,,1.7853290453971482,1.5282637926384668,0.14953215480442156,,,,,33.853257900944115,3.5916393863395313,7.177033617093369,,,,,,,
7,50.94790045815692,26.106842345365315,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,,0.2666003321845201,1.0006467156653331,,,,,
8,50.68125619177732,24.059798543044423,2.1810438211131156,2,,,,,,0.25625361419433546,,,,,,,,0.30707131744841,,,,
9,50.43401879950194,25.640467693212088,4.852776432377494,2,,,,,,,,,,,,,,0.6832271951382624,1.3845385365700535,,,
10,50.21402794669083,27.255546114054887,0.0,5,,3.3214641265493894,,,2.0937269725062304,0.2359060345950812,,,16.768879154470863,,,,,,1.6552051036728976,,,
11,49.78314018268642,27.364338170116632,0.0,2,,,,,,,4.320247996337416,78.27917112125333,,,,,,,,,,
12,49.213412231832365,16.034382652039383,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,,,,
13,49.13071679831468,27.34694210119848,0.0,2,,,,,,,,,,,5.836561118508721,,,,,0.3533522280260528,,
14,48.7324849820594,27.379548174996597,0.0,4,,,2.166967216224394,,1.2539103833015854,0.3617996798630564,,,,,,,,,,,0.08537474711057913,
15,48.572234511037855,27.41444647419549,0.0,2,,,,0.15935132798069174,,,,60.944658882522575,,,,,,,,,,
16,48.495913182779795,27.415930138507083,3.447058542152564,3,,,0.1324469832564923,,,,,53.84276374653468,,,,,,0.48531478258899535,,,,
17,48.366506463634295,27.402073167638132,0.0,4,2.279553984091857,,1.3011402303484576,,,0.03517463153159661,,,,,8.608108626867374,,,,,,,
18,48.286298720203,27.421994773311663,0.0,3,,,,,,,3.8863229039883898,67.20038683079733,,4.159896079752416,,,,,,,,
19,48.28503762869289,27.40201056273849,0.0,4,,,,,0.9458885601567188,,1.8029546069678037,,,,8.429562282351153,,,,,,,0.06289825760685919
20,48.244571228443704,27.423292894291652,0.0,3,,,2.138017462545925,,,,,,,,8.35407830842126,,,,,,0.30153215308525827,
