rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,pvp_pct,raffinose_M,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,hes_pct,human_serum_pct,fbs_pct,peg_3350_pct,creatine_M,dmso_M,ectoin_M,trehalose_M
1,59.533839718079776,25.012119486167812,0.0,2,5.836561118508721,0.3533522280260528,,,,,,,,,,,,,,
2,57.67563873933591,13.878891383981625,0.0,2,,,1.2087676864441632,8.327230977971464,,,,,,,,,,,,
3,54.59093558782172,14.47050266413223,0.0,2,,,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,
4,53.94442893632468,16.44966858570609,0.0,2,,,,,,,2.4567001218060853,0.3991093505747292,,,,,,,,
5,52.936506412767415,26.728314208294798,0.0,2,4.934442792827386,0.8646591138898917,,,,,,,,,,,,,,
6,52.419719891740506,26.85411990499558,0.0,2,,,,,,,,,0.47196701697378995,86.52749576778446,,,,,,
7,51.73311867233809,15.091780934808968,0.0,2,,,1.8607624141879884,,,,,,,,36.763067803954364,,,,,
8,51.31952679601534,16.457948205604886,0.0,6,7.177033617093369,,,1.7853290453971482,1.5282637926384668,0.14953215480442156,,,,,33.853257900944115,3.5916393863395313,,,,
9,50.179779398706465,26.22990526031855,4.852776432377494,2,,,,,,,,,,,,,1.3845385365700535,0.6832271951382624,,
10,49.48661818729255,23.807817526537388,0.0,2,4.938470147415614,,,,,,,,,,,,,,0.00485017746152111,
11,49.406290645600066,15.922381139278508,0.0,2,,,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,
12,49.09997086164439,27.20902412007036,0.0,2,,,,,,,,,4.320247996337416,78.27917112125333,,,,,,
13,48.59107246312242,24.673884916978793,2.1810438211131156,2,,,,,,,,0.25625361419433546,,,,,,0.30707131744841,,
14,48.37734685244749,27.219071508830766,0.0,5,,,,3.3214641265493894,,,2.0937269725062304,0.2359060345950812,,,16.768879154470863,,1.6552051036728976,,,
15,47.935696691682956,27.262835964422543,0.0,3,5.97274072430341,0.5182603666763922,,,,,,,,,,,,,,0.21632402303655351
16,47.91754633824367,27.26610896665487,0.0,3,8.35407830842126,,,,2.138017462545925,,,,,,,,,,0.30153215308525827,
17,47.88906518999584,27.259417924170688,0.0,2,,,,,,0.15935132798069174,,,,60.944658882522575,,,,,,
18,47.812743861737765,27.260910025851476,3.447058542152564,3,,,,,0.1324469832564923,,,,,53.84276374653468,,,,0.48531478258899535,,
19,47.715797929669414,27.246955528138276,0.0,4,8.608108626867374,,2.279553984091857,,1.3011402303484576,,,0.03517463153159661,,,,,,,,
20,47.63015591480577,27.24689882269663,0.0,4,8.429562282351153,,,,,,0.9458885601567188,,1.8029546069678037,,,,,,,0.06289825760685919
