feature,importance
ethylene_glycol,0.5406044580790094
glycerol,0.23678174842920885
ectoin,0.21985975031084304
dmso,0.1994647185949553
hsa,0.1962326920452916
fbs,0.14724386744242368
pvp,0.14591209557018225
sucrose,0.13459665165195822
trehalose,0.12702629586505154
peg_3350,0.11709572576301941
proline,0.10537628754793249
propylene_glycol,0.061830570815533226
human_serum,0.04628031711746716
hes,0.039155587956436144
dextran,0.03828822145428379
glucose,0.03559901778352126
creatine,0.00365748735950977
methylcellulose,0.003507993587619662
betaine,0.0021055299932720706
raffinose,0.002063299882866465
hyaluronic_acid,0.0018004431520647346
