recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_8_prior_mean.csv,1.0,,,76.59732645998031,14.434269254600522,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.3379476687702847,1.9136652819383595,6.627720302010422,0.0,0.0,0.0,0.0,0.0,0.0,0.1554824080224479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.9mM ectoin + 1.91M ethylene_glycol + 6.6% fbs + 0.2% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_8_prior_mean.csv,2.0,,,76.38745064067663,14.159110740277082,0.0,0.0,0.112233717452068,4,0.0,0.0,0.0,0.0158014961214994,0.3446999913502917,1.9109934817542944,6.061683362005906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8mM dmso + 344.7mM ectoin + 1.91M ethylene_glycol + 6.1% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_dmso_free_iteration_8_prior_mean.csv,4.0,,,75.8016524862424,14.067825589793252,0.0,0.0,0.19084370913044096,4,0.0,0.0,0.0,0.0268690746247901,0.3411528412114022,1.8881900530643692,6.162819393254487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9mM dmso + 341.2mM ectoin + 1.89M ethylene_glycol + 6.2% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_general_iteration_8_prior_mean.csv,4.0,,,75.63135413878243,14.809071599247288,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.3313640343354895,1.890422173099731,6.66271132221179,0.0,0.0,0.0,0.0,0.0,0.0,0.25078141550355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.4mM ectoin + 1.89M ethylene_glycol + 6.7% fbs + 0.3% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_general_iteration_8_prior_mean.csv,5.0,,,75.48451665190291,14.978721439100028,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.3619979393164431,1.9439134681350765,6.553897209163325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0mM ectoin + 1.94M ethylene_glycol + 6.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_dmso_free_iteration_8_prior_mean.csv,7.0,,,75.1655218730777,13.986420115760168,0.0,0.0,0.12619159178032952,4,0.0,0.0,0.0,0.0177666390577707,0.3259292198227252,1.7072329636792385,9.216893050211429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8mM dmso + 325.9mM ectoin + 1.71M ethylene_glycol + 9.2% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_dmso_free_iteration_8_prior_mean.csv,8.0,,,75.1143671822831,14.040644815555844,0.0,0.0,0.25455444909141983,4,0.0,0.0,0.0,0.0358389727378167,0.3372432061564095,1.857221241852166,6.448408395622076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8mM dmso + 337.2mM ectoin + 1.86M ethylene_glycol + 6.4% fbs,Top BO exploitation candidate with strong predicted viability.
explore,1,local_rank_probe,bo_candidates_dmso_free_iteration_8_prior_mean.csv,1.0,8.0,,74.73968500132085,14.3913783286736,3.578050238970163,0.4173443223443224,0.0,4,0.0,0.0,0.0,0.0,0.3379476687702847,1.7222987537445236,5.96494827180938,0.0,0.0,0.0,0.0,0.0,0.0,0.1554824080224479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.9mM ectoin + 1.72M ethylene_glycol + 6.0% fbs + 0.2% methylcellulose,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_8_prior_mean.csv rank 1; scaled fbs + ethylene_glycol down by 10%.
explore,2,local_rank_probe,bo_candidates_dmso_free_iteration_8_prior_mean.csv,1.0,8.0,,74.25493765183822,14.592395952770277,3.578050238970163,0.4173443223443224,0.0,4,0.0,0.0,0.0,0.0,0.3379476687702847,2.1050318101321954,7.290492332211465,0.0,0.0,0.0,0.0,0.0,0.0,0.1554824080224479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.9mM ectoin + 2.11M ethylene_glycol + 7.3% fbs + 0.2% methylcellulose,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_8_prior_mean.csv rank 1; scaled fbs + ethylene_glycol up by 10%.
explore,3,local_rank_probe,bo_candidates_dmso_free_iteration_8_prior_mean.csv,2.0,8.0,,74.31895779563985,14.178233589009562,5.534454460722644,0.032861534600665036,0.112233717452068,4,0.0,0.0,0.0,0.0158014961214994,0.3446999913502917,1.719894133578865,5.455515025805315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8mM dmso + 344.7mM ectoin + 1.72M ethylene_glycol + 5.5% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_8_prior_mean.csv rank 2; scaled fbs + ethylene_glycol down by 10%.
